,PRESSURE;DBAR,TEMPERATURE;C,Calc. SALINITY; PSU
224,1122.11,3.48,34.5
225,1127.11,3.48,34.5
226,1132.04,3.48,34.5
227,1137.09,3.48,34.5
228,1142.03,3.48,34.5
229,1147.06,3.48,34.51
230,1152.1,3.47,34.51
231,1157.04,3.47,34.52
232,1162.11,3.48,34.52
233,1167.04,3.48,34.53
234,1172.06,3.48,34.53
235,1177.06,3.48,34.53
236,1182.11,3.48,34.53
237,1187.1,3.48,34.53
238,1192.06,3.48,34.53
239,1197.08,3.49,34.54
240,1202.04,3.5,34.54
241,1207.03,3.5,34.54
242,1212.09,3.51,34.55
243,1217.08,3.51,34.55
244,1222.03,3.5,34.56
245,1227.08,3.5,34.56
246,1232.05,3.5,34.56
247,1237.05,3.51,34.57
248,1242.05,3.52,34.58
249,1247.06,3.52,34.58
250,1252.15,3.53,34.58
251,1257.08,3.54,34.59
252,1262.09,3.55,34.59
253,1267.03,3.55,34.59
254,1272.08,3.56,34.6
255,1277.03,3.57,34.6
256,1282.06,3.57,34.61
257,1287.01,3.58,34.61
258,1292.06,3.59,34.61
259,1297.08,3.6,34.62
260,1302.04,3.6,34.62
261,1307.14,3.6,34.62
262,1312.02,3.61,34.62
263,1317.04,3.62,34.63
264,1322.09,3.63,34.64
265,1327.1,3.64,34.64
266,1332.04,3.65,34.65
267,1337.09,3.66,34.65
268,1342.07,3.66,34.66
269,1347.13,3.67,34.66
270,1352.06,3.68,34.67
271,1357.11,3.69,34.68
272,1362.08,3.7,34.68
273,1367.03,3.7,34.68
274,1372.05,3.7,34.68
275,1377.05,3.72,34.69
276,1382.06,3.72,34.69
277,1387.12,3.73,34.7
278,1392.05,3.74,34.71
279,1397.1,3.74,34.71
280,1402.02,3.75,34.71
281,1407.05,3.75,34.71
282,1412.1,3.75,34.71
283,1417.11,3.75,34.71
284,1422.09,3.75,34.72
285,1427.11,3.75,34.72
286,1432.11,3.75,34.72
287,1437.07,3.76,34.73
288,1442.04,3.76,34.73
289,1447.08,3.76,34.73
290,1452.07,3.76,34.73
291,1457.07,3.76,34.73
292,1462.16,3.77,34.74
293,1467.06,3.79,34.74
294,1472.06,3.8,34.75
295,1477.05,3.81,34.75
296,1482.03,3.82,34.75
297,1487.14,3.82,34.76
298,1492.07,3.82,34.76
299,1497.11,3.82,34.76
300,1502.11,3.83,34.76
301,1507.04,3.83,34.77
302,1512.08,3.84,34.77
303,1517.05,3.84,34.77
304,1522.04,3.85,34.77
305,1527.11,3.86,34.78
306,1532.04,3.86,34.78
307,1537.11,3.86,34.78
308,1542.07,3.88,34.79
309,1547.05,3.88,34.79
310,1552.03,3.89,34.8
311,1557.08,3.9,34.8
312,1562.07,3.91,34.81
313,1567.06,3.91,34.81
314,1572.01,3.92,34.81
315,1577.07,3.92,34.81
316,1582.08,3.92,34.81
317,1587.02,3.93,34.82
318,1592.1,3.93,34.82
319,1597.11,3.94,34.82
320,1602.08,3.94,34.82
321,1607.11,3.94,34.83
322,1612.08,3.94,34.82
323,1617.04,3.94,34.83
324,1622.11,3.94,34.83
325,1627.04,3.94,34.83
326,1632.11,3.94,34.83
327,1637.06,3.94,34.84
328,1642.08,3.94,34.84
329,1647.13,3.95,34.84
330,1652.09,3.95,34.84
331,1657.09,3.97,34.85
332,1662.03,3.98,34.85
333,1667.15,3.98,34.85
334,1672.1,3.98,34.86
335,1677.08,3.98,34.86
336,1682.08,3.98,34.86
337,1686.02,3.98,34.86
338,1691.04,3.99,34.87
339,1695.58,3.99,34.87
340,1699.51,3.99,34.87
341,1704.02,3.99,34.87
342,1709.0,3.98,34.88
343,1714.02,3.99,34.88
344,1719.01,3.99,34.88
345,1724.05,3.99,34.88
346,1728.59,3.98,34.88
347,1733.02,3.98,34.88
348,1738.04,3.97,34.88
349,1743.07,3.96,34.89
350,1748.09,3.95,34.89
351,1753.01,3.95,34.89
352,1758.04,3.94,34.89
353,1763.02,3.94,34.89
